SEGMENTID,ONSTREETNAME 1,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
108502,DOUGLAS RD       ,BEND,BEND,S,2018-01-22 10:54:36,2018-02-20 23:58:59,REPAIR GAS
109192,ROEBLING ST       ,METROPOLITAN AVENUE,NORTH    4 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
109327,ROEBLING ST       ,BEND,NORTH    5 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
109328,ROEBLING ST       ,BEND,NORTH    4 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
106086,W 44 ST,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11154,GRIMSBY ST       ,BEDFORD AVENUE,MIDLAND AVENUE,S,2018-02-26 00:00:00,2018-03-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11086,BEDFORD AV       ,GRIMSBY STREET,NUGENT AVENUE,S,2018-02-06 14:36:11,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
101241,223 PL       ,67 AVENUE,224 STREET,Q,2017-10-23 09:55:40,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
106086,W 44 ST,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
11154,GRIMSBY ST       ,BEDFORD AVENUE,MIDLAND AVENUE,S,2018-02-06 14:36:11,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11155,GRIMSBY ST       ,BEDFORD AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:10,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11156,MAPLETON AV       ,FREEBORN STREET,GRIMSBY STREET,S,2018-02-06 14:36:12,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
106086,W 44 ST,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
108513,DOUGLAS RD       ,BEND,BEND,S,2018-02-20 00:00:00,2018-03-22 23:58:59,REPAIR GAS
11176,GRIMSBY ST       ,HUNTER AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:09,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11176,GRIMSBY ST       ,HUNTER AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:09,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
161841,27 ST       ,3 AVENUE,4 AVENUE,B,2018-04-03 00:00:00,2018-04-04 23:59:59,DOT IN-HOUSE MILLING
103236,264 ST       ,60 AVENUE,60 ROAD,Q,2017-10-23 09:27:54,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
101926,60 AV       ,246 PLACE,MARATHON PARKWAY,Q,2017-10-18 09:39:08,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
101992,COMMONWEALTH BLVD       ,76 AVENUE,GRAND CENTRL PARKWAY,Q,2017-10-18 09:39:26,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
106113,W 58 ST,10 AVENUE,11 AVENUE,M,2018-09-14 11:49:40,2018-09-16 23:58:59,FINAL RESTORATION ONLY - PROTECTED
114103,CROMWELL CIR       ,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114103,CROMWELL CIR       ,BEND,FAIRVIEW PLACE,S,2018-03-19 16:03:53,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
100356,94 AV       ,213 STREET,214 STREET,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
114104,CROMWELL CIR       ,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
106113,W 58 ST,10 AVENUE,11 AVENUE,M,2018-09-15 00:00:00,2018-09-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
103158,260 ST       ,57 AVENUE,DEAD END,Q,2017-10-18 09:39:13,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
103236,264 ST       ,60 AVENUE,60 ROAD,Q,2017-10-18 09:39:22,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
108514,DOUGLAS RD       ,BEND,BEND,S,2018-02-20 00:00:00,2018-03-22 23:58:59,REPAIR GAS
