SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
108502,DOUGLAS ROAD,BEND,BEND,S,2018-01-22 10:54:36,2018-02-20 23:58:59,REPAIR GAS
109192,ROEBLING STREET,METROPOLITAN AVENUE,NORTH    4 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
109327,ROEBLING STREET,BEND,NORTH    5 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
109328,ROEBLING STREET,BEND,NORTH    4 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
106086,WEST   44 STREET,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11154,GRIMSBY STREET,BEDFORD AVENUE,MIDLAND AVENUE,S,2018-02-26 00:00:00,2018-03-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11086,BEDFORD AVENUE,GRIMSBY STREET,NUGENT AVENUE,S,2018-02-06 14:36:11,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
101241,223 PLACE,67 AVENUE,224 STREET,Q,2017-10-23 09:55:40,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
106086,WEST   44 STREET,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
11154,GRIMSBY STREET,BEDFORD AVENUE,MIDLAND AVENUE,S,2018-02-06 14:36:11,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11155,GRIMSBY STREET,BEDFORD AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:10,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11156,MAPLETON AVENUE,FREEBORN STREET,GRIMSBY STREET,S,2018-02-06 14:36:12,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
106086,WEST   44 STREET,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
108513,DOUGLAS ROAD,BEND,BEND,S,2018-02-20 00:00:00,2018-03-22 23:58:59,REPAIR GAS
11176,GRIMSBY STREET,HUNTER AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:09,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11176,GRIMSBY STREET,HUNTER AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:09,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
161841,27 STREET,3 AVENUE,4 AVENUE,B,2018-04-03 00:00:00,2018-04-04 23:59:59,DOT IN-HOUSE MILLING
103236,264 STREET,60 AVENUE,60 ROAD,Q,2017-10-23 09:27:54,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
101926,60 AVENUE,246 PLACE,MARATHON PARKWAY,Q,2017-10-18 09:39:08,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
101992,COMMONWEALTH BOULEVARD,76 AVENUE,GRAND CENTRL PARKWAY,Q,2017-10-18 09:39:26,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
106113,WEST   58 STREET,10 AVENUE,11 AVENUE,M,2018-09-14 11:49:40,2018-09-16 23:58:59,FINAL RESTORATION ONLY - PROTECTED
