,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
0,108502,douglas road,2018-01-22 10:54:36,2018-02-20 23:58:59,S
1,109192,roebling street,2018-08-22 00:00:00,2018-08-28 23:59:59,B
2,109327,roebling street,2018-08-22 00:00:00,2018-08-28 23:59:59,B
3,109328,roebling street,2018-08-22 00:00:00,2018-08-28 23:59:59,B
4,106086,west 44 street,2018-09-08 00:00:00,2018-09-10 23:58:59,M
5,11154,grimsby street,2018-02-26 00:00:00,2018-03-01 23:58:59,S
6,11086,bedford avenue,2018-02-06 14:36:11,2018-02-12 23:58:59,S
7,101241,223 place,2017-10-23 09:55:40,2018-01-01 23:58:59,Q
8,106086,west 44 street,2018-09-08 00:00:00,2018-09-10 23:58:59,M
9,11154,grimsby street,2018-02-06 14:36:11,2018-02-12 23:58:59,S
10,11155,grimsby street,2018-02-06 14:36:10,2018-02-12 23:58:59,S
11,11156,mapleton avenue,2018-02-06 14:36:12,2018-02-12 23:58:59,S
12,106086,west 44 street,2018-09-08 00:00:00,2018-09-10 23:58:59,M
13,108513,douglas road,2018-02-20 00:00:00,2018-03-22 23:58:59,S
14,11176,grimsby street,2018-02-06 14:36:09,2018-02-12 23:58:59,S
15,11176,grimsby street,2018-02-06 14:36:09,2018-02-12 23:58:59,S
16,161841,27 street,2018-04-03 00:00:00,2018-04-04 23:59:59,B
17,103236,264 street,2017-10-23 09:27:54,2018-01-01 23:58:59,Q
18,101926,60 avenue,2017-10-18 09:39:08,2018-01-01 23:58:59,Q
19,101992,commonwealth boulevard,2017-10-18 09:39:26,2018-01-01 23:58:59,Q
20,106113,west 58 street,2018-09-14 11:49:40,2018-09-16 23:58:59,M
21,114103,cromwell circle,2018-03-19 15:37:46,2018-06-17 23:58:59,S
22,114103,cromwell circle,2018-03-19 16:03:53,2018-06-17 23:58:59,S
23,100356,94 avenue,2018-04-23 00:00:00,2018-05-23 23:59:59,Q
24,114104,cromwell circle,2018-03-19 15:37:46,2018-06-17 23:58:59,S
25,106113,west 58 street,2018-09-15 00:00:00,2018-09-16 23:58:59,M
26,103158,260 street,2017-10-18 09:39:13,2018-01-01 23:58:59,Q
27,103236,264 street,2017-10-18 09:39:22,2018-01-01 23:58:59,Q
28,108514,douglas road,2018-02-20 00:00:00,2018-03-22 23:58:59,S
29,132471,battery park viaduct,2018-01-16 18:27:57,2018-02-01 23:58:59,M
30,11413,fairview place,2018-03-19 15:37:47,2018-06-17 23:58:59,S
31,106114,west 58 street,2018-09-14 11:49:40,2018-09-16 23:58:59,M
32,106114,west 58 street,2018-09-15 00:00:00,2018-09-16 23:58:59,M
33,132763,battery park viaduct,2018-01-16 18:27:57,2018-02-01 23:58:59,M
34,107590,clearview expressway,2017-10-19 09:41:11,2018-01-01 23:58:59,Q
35,118786,willoughby avenue,2018-01-10 09:59:36,2018-02-10 23:58:59,B
36,71135,broadway,2018-08-06 00:00:00,2018-08-17 23:59:59,M
37,115226,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
